Name,Remix Link,Credit
7th Realm,,
Adventure,http://download1491.mediafire.com/h4v4iby4me5g/c89esrnok44ovz3/OSRSBeatz+-+Adventure.mp3,OSRSBeatz
Al Kharid,http://download946.mediafire.com/unljnlg0p27g/b8jcmqqcusu2cpo/OSRSBeatz+-+Al+Kharid.mp3,OSRSBeatz
Alchemical Attack!,,
All's Fairy in Love & War,,
Alone,http://download941.mediafire.com/bj4ma45bfh8g/ujd1n78tb6bqg6g/OSRSBeatz+-+Alone.mp3,OSRSBeatz
Altar Ego,http://download1523.mediafire.com/mvsubc54d7qg/w4kqgvqpmojr3on/OSRSBeatz+-+Altar+Ego.mp3,OSRSBeatz
Alternative Root,,
Ambient Jungle,,
Anywhere,,
Arabian,http://download1585.mediafire.com/d51ivbzgfy9g/4l0vzun5vvk5dzq/OSRSBeatz+-+Arabian.mp3,OSRSBeatz
Arabian 2,http://download942.mediafire.com/a1i5b8ds4ing/9a178xgydkjec10/OSRSBeatz+-+Arabian2.mp3,OSRSBeatz
Arabian 3,,
Arabique,,
Arachnids of Vampyrium,,
Arboretum,,
Arcane,http://download855.mediafire.com/dgns8se6norg/3vvntnct82aiid2/OSRSBeatz+-+Arcane.mp3,OSRSBeatz
Architects of Prifddinas,,
Armadyl Alliance,,
Armageddon,,
Army of Darkness,,
Arrival,http://download1639.mediafire.com/mtrhvgb2vb0g/uc9owqhra5soosh/OSRSBeatz+-+Arrival.mp3,OSRSBeatz
Artistry,http://download1585.mediafire.com/4rxp1n1q1c9g/1rmn9q54etg63tm/OSRSBeatz+-+Artistry.mp3,OSRSBeatz
Ascent,,
Assault and Battery,,
Attack 1,,
Attack 2,http://download1582.mediafire.com/u2fgjmc80mig/s8qx4789lciw3x8/OSRSBeatz+-+Attack+2.mp3,OSRSBeatz
Attack 3,,
Attack 4,,
Attack 5,,
Attack 6,,
Attention,http://download1653.mediafire.com/xojpjwiidu4g/2bb17yp15y94lbb/OSRSBeatz+-+Attention.mp3,OSRSBeatz
Autumn Voyage,http://download1512.mediafire.com/cuxqvb5bgvfg/v107oh220t5unj2/OSRSBeatz+-+Autumn+Voyage+%28FIXED%29.mp3,OSRSBeatz
Aye Car Rum Ba,,
Aztec,,
Back to Life,http://download1525.mediafire.com/xsnd17od3a0g/dk2zqqbo8rbqy80/OSRSBeatz+-+Back+to+Life.mp3,OSRSBeatz
Background,http://download940.mediafire.com/d958mm9gowyg/bf711gqev5u196z/OSRSBeatz+-+Background.mp3,OSRSBeatz
Bait,,
Ballad of Enchantment,,
Ballad of the Basilisk,,
